Previous Taught Course,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,Instructor Name,Current Taught Course,Mean Overall Rating of Instruction,Mean Overall Rating of Course,Mean How Much Learned,Mean Effectiveness of Intellectual Challenge,Mean Effectiveness of Stimulating Interest,Mean Average Hours Spent Per Week,Prev Was Seminar?
HISTORY_101-6_24,0.039,0.696,0.265,0.9992,0.01449086051,0.06722934544,0.918279767,Benjamin Frommer,Holocaust Testimonies,5.25,4.77,5.54,4.85,5.08,6.269230769,TRUE
HISTORY_103-8_24,0.092,0.77,0.138,0.941,0.2010916471,0.3018061221,0.4971022308,Ashish Koul,Islam and Gender in the Modern World,4.67,4,5,5.33,5,6.833333333,TRUE
SOCIOL_101-8_20,0.004,0.691,0.304,0.9997,0.003826385364,0.02096626908,0.9752073884,Santiago Molina,Latinx Futurism,5.92,5.58,5.67,5.17,5.83,4.666666667,TRUE
ASIAN_AM_101-8_1,0.032,0.754,0.214,0.9998,0.0249705445,0.1666655391,0.8083639145,Nitasha Sharma,Multiracial Asian Americans and Pacific Islanders,5.27,5.18,4.91,5.09,5.09,5.181818182,TRUE
ANTHRO_490-0_1,0.014,0.826,0.159,0.9844,0.00632851664,0.07134444267,0.9223270416,Megan Baker,Native/Indigenous Feminisms,5.29,5.13,5.63,5.5,5.57,6.6875,FALSE
ENGLISH_105-0_20,0.113,0.705,0.182,0.3467,0.2643447518,0.3481817842,0.3874735236,Rio Bergh,"Pilgrims, Cowboys, Astronauts: Frontiers in American Culture",4.88,4.75,4.88,4.63,5.13,3.714285714,FALSE
PSYCH_101-6_20,0.076,0.695,0.23,0.9992,0.09207954258,0.1918643564,0.7160561085,Sara Broaders,Psychology and Weird Beliefs,4.4,4.3,4.9,4.7,4.9,5.8,TRUE
RELIGION_101-8_21,0.016,0.622,0.362,0.9999,0.002060563304,0.01155972667,0.986379683,Lily Stewart,Religion and Horror,5.92,6,5.86,5.21,5.92,3,TRUE
ENGLISH_105-0_2,0.034,0.75,0.216,0.9852,0.006654290948,0.05257546157,0.9407702088,Lingyi Xu,The Many Faces of Jane Eyre,4.67,3.83,3.67,3.67,3.67,5.5,FALSE
POLI_SCI_101-7_24,0.024,0.708,0.268,0.9996,0.003328429535,0.02616308257,0.9705085158,Jeff Rice,The Politics of Antisemitism and Zionism,5.27,5.27,4.7,5,5.55,3,TRUE
POLI_SCI_390-0_23,0.014,0.743,0.244,0.9999,0.001901724027,0.0173341725,0.9807641506,Danielle Gilbert,The Politics of Hostage Taking and Recovery,5.87,6,5.8,5.47,5.87,4.266666667,FALSE
CHEM_105-8_05,0.02,0.734,0.246,0.9995,0.003476467449,0.02924854495,0.9672749639,Stephanie Knezz,The Science Behind Oppression,5.64,5.43,5.43,4.43,5.64,3.535714286,TRUE
HISTORY_101-6_20,0.005,0.717,0.278,0.9996,0.002643502317,0.01823575236,0.9791207314,Tessie Liu,The Wild Child: Are Humans Not Animals?,5.46,5.23,5.54,5.15,5.08,6.076923077,TRUE
ENGLISH_105-8_21,0.04,0.638,0.321,0.9983,0.00486172922,0.02091884799,0.9742194414,Brendan O'Kelly,True Crime,5.17,5,5,4.08,5.08,3.833333333,TRUE
SPANISH_105-8_1,0.02,0.652,0.328,0.9998,0.002997099422,0.0174875129,0.9795153737,Julia Oliver Rajan,Why is Service-Learning Important?,5.53,5.6,4.07,3.47,5.47,3.166666667,TRUE
ENGLISH_105-0_21,0.005,0.761,0.234,0.9987,0.001492285402,0.01692654938,0.9815811515,Avey Rips,Writing Home: Poetries of Diaspora and Domesticity,6,6,5.56,5.6,5.9,3.5,FALSE
